[SPHERE] radius = 0.0012714560254376561 | density = 0.13768858601176814 | surface_area = 2.0314800071126963e-05
[PARALLELEPIPED] width = 0.4879794243091844 | length = 0.2750154521200703 | height = 0.4627853287980749 | density = 0.4759233448968633 | surface_area = 0.9746094335224822
[SPHERE] radius = 0.2786090816642449 | density = 0.4016353542877025 | surface_area = 0.9754396423738434
[PARALLELEPIPED] width = 0.20945314980792706 | length = 0.4729757528688543 | height = 0.5700189936979586 | density = 0.25003178216063693 | surface_area = 0.9761273951907564
[TETRAHEDRON] side = 0.7512029908693149 | density = 0.40921292413233745 | surface_area = 0.9774065478190024
[TETRAHEDRON] side = 0.751205817904332 | density = 0.6223157325983938 | surface_area = 0.977413904466326
[PARALLELEPIPED] width = 0.7964902254007148 | length = 0.33198692790802764 | height = 0.1993554822885233 | density = 0.541533507343443 | surface_area = 0.978784900378
[TETRAHEDRON] side = 0.7542512286768517 | density = 0.22075465631558522 | surface_area = 0.9853548986112826
[TETRAHEDRON] side = 0.7546417961851821 | density = 0.9294611584845972 | surface_area = 0.98637563874168
[TETRAHEDRON] side = 0.7571975230450583 | density = 0.6758588188618994 | surface_area = 0.9930680204069676
[PARALLELEPIPED] width = 0.5133337002174186 | length = 0.35605861744592104 | height = 0.36102630403810576 | density = 0.06593861319189831 | surface_area = 0.9933007655858626
[TETRAHEDRON] side = 0.7573224219873731 | density = 0.5152176872070566 | surface_area = 0.9933956584966055
[TETRAHEDRON] side = 0.7590677744668186 | density = 0.6876060601624824 | surface_area = 0.9979797654597893
[PARALLELEPIPED] width = 0.4425825849989211 | length = 0.0999956170277978 | height = 0.8436255715398443 | density = 0.0943483338651836 | surface_area = 1.0039783289251534
[TETRAHEDRON] side = 0.7614631008625053 | density = 0.5684127718531649 | surface_area = 1.0042881850371201
[TETRAHEDRON] side = 0.7617343415298852 | density = 0.042183448397448364 | surface_area = 1.0050037871817343
[TETRAHEDRON] side = 0.7630858803438991 | density = 0.8005331186350838 | surface_area = 1.0085732905217926
[PARALLELEPIPED] width = 0.0525252116927315 | length = 0.7518726745055075 | height = 0.5801689913568112 | density = 0.21532273929530843 | surface_area = 1.0123579633591306
[PARALLELEPIPED] width = 0.47084549883079685 | length = 0.4383719300974174 | height = 0.3297970457146848 | density = 0.23634081945278052 | surface_area = 1.0125253441459283
[TETRAHEDRON] side = 0.7647440512413454 | density = 0.0673085022458434 | surface_area = 1.0129612734569313
[TETRAHEDRON] side = 0.7652600976993984 | density = 0.1876226434110847 | surface_area = 1.0143288197524853
[PARALLELEPIPED] width = 0.9434139106091479 | length = 0.35951440141548663 | height = 0.13001159576588006 | density = 0.8063375292034026 | surface_area = 1.0171333527491169
[TETRAHEDRON] side = 0.768169914989799 | density = 0.2500958124263437 | surface_area = 1.0220572324729038
[PARALLELEPIPED] width = 0.20155236782665087 | length = 0.6663459643414739 | height = 0.43418445565432573 | density = 0.6159882585197176 | surface_area = 1.022263143640943
[TETRAHEDRON] side = 0.7686180926019649 | density = 0.7806674792899957 | surface_area = 1.023250189359569
[TETRAHEDRON] side = 0.7695091837344756 | density = 0.7060623117004151 | surface_area = 1.0256241582477104
[SPHERE] radius = 0.2856989124411936 | density = 0.1706823954597918 | surface_area = 1.0257157834293789
[PARALLELEPIPED] width = 0.2348476990489181 | length = 0.3738788214675469 | height = 0.7009555710585954 | density = 0.6680397683869466 | surface_area = 1.0289896535038103
[TETRAHEDRON] side = 0.7720103652182884 | density = 0.12928343594177827 | surface_area = 1.032302288247005
[PARALLELEPIPED] width = 0.31211429941736857 | length = 0.19406841543944475 | height = 0.9062841338368998 | density = 0.4290058899455116 | surface_area = 1.0386337816422773
[PARALLELEPIPED] width = 0.7112097541085374 | length = 0.009638470750447992 | height = 0.7135919102207698 | density = 0.8586569147602843 | surface_area = 1.0424928723375657
[PARALLELEPIPED] width = 0.48320945821482364 | length = 0.4269947195321019 | height = 0.3480848838949665 | density = 0.3382887032875531 | surface_area = 1.046312405234899
[TETRAHEDRON] side = 0.7773411209057061 | density = 0.23910712392030398 | surface_area = 1.0466076669524782
[TETRAHEDRON] side = 0.7787242120583233 | density = 0.772562560103647 | surface_area = 1.0503353523971177
[TETRAHEDRON] side = 0.7796160901203374 | density = 0.46398700059556675 | surface_area = 1.0527426423956423
[TETRAHEDRON] side = 0.7833444271833975 | density = 0.2645443325704778 | surface_area = 1.0628357244218138
[PARALLELEPIPED] width = 0.5992077561410019 | length = 0.19432932368228528 | height = 0.5264740916488555 | density = 0.793964298059786 | surface_area = 1.0684407025714222
[TETRAHEDRON] side = 0.7863643925839969 | density = 0.7188585012618947 | surface_area = 1.0710464529477866
[SPHERE] radius = 0.29202526263574513 | density = 0.5760711494572752 | surface_area = 1.0716444285143736
[PARALLELEPIPED] width = 0.8972266485725412 | length = 0.08811461567319523 | height = 0.46565408006718156 | density = 0.13639679244364566 | surface_area = 1.0757739225306011
[SPHERE] radius = 0.29278512382951893 | density = 0.6786344361065552 | surface_area = 1.0772286059173242
[PARALLELEPIPED] width = 0.1786852149098821 | length = 0.6205020080443446 | height = 0.5365288578708952 | density = 0.384199931566537 | surface_area = 1.0793230852321218
[TETRAHEDRON] side = 0.7906055529673323 | density = 0.8581597620106887 | surface_area = 1.0826307247766893
[TETRAHEDRON] side = 0.7907257946079653 | density = 0.0022239303716767855 | surface_area = 1.0829600601659044
[PARALLELEPIPED] width = 0.9956476559546757 | length = 0.29234699223065974 | height = 0.19472808308751055 | density = 0.44247309555434333 | surface_area = 1.0837666528159182
[PARALLELEPIPED] width = 0.22426415141467404 | length = 0.32453290772426824 | height = 0.867162115136172 | density = 0.24529300938024212 | surface_area = 1.0973542314807117
[PARALLELEPIPED] width = 0.9234806428002481 | length = 0.11415769922724928 | height = 0.4296837652289467 | density = 0.022270363813823635 | surface_area = 1.1025575504225484
[SPHERE] radius = 0.29625457291402046 | density = 0.5702531793945742 | surface_area = 1.1029097842319926
[TETRAHEDRON] side = 0.7981944038865788 | density = 0.5434001872286215 | surface_area = 1.1035143489066186
[SPHERE] radius = 0.2965771372180187 | density = 0.9184223833491745 | surface_area = 1.105312805391774
[PARALLELEPIPED] width = 0.18933804275489463 | length = 0.32163541159692155 | height = 0.9679866206687759 | density = 0.3305255040157342 | surface_area = 1.1110265732837832
[TETRAHEDRON] side = 0.8019607370996807 | density = 0.5934010681443774 | surface_area = 1.1139529297391373
[PARALLELEPIPED] width = 0.3564865062926509 | length = 0.904824154691414 | height = 0.18663043656869227 | density = 0.5356535093689032 | surface_area = 1.1159131220466902
[TETRAHEDRON] side = 0.8038541781134779 | density = 0.6437169019683124 | surface_area = 1.1192192576223814
[TETRAHEDRON] side = 0.8060297962283365 | density = 0.2932113620221899 | surface_area = 1.1252857529966966
[PARALLELEPIPED] width = 0.579911507369727 | length = 0.83918603624473 | height = 0.05394008739595102 | density = 0.021519455172379742 | surface_area = 1.1263997695365018
[TETRAHEDRON] side = 0.8068754337711285 | density = 0.5599634289499759 | surface_area = 1.1276481546239923
[SPHERE] radius = 0.30012226492867833 | density = 0.5835076356079102 | surface_area = 1.1318953989875367
[SPHERE] radius = 0.30025238055578307 | density = 0.6390141542136065 | surface_area = 1.132877060279073
[PARALLELEPIPED] width = 0.3275863741227921 | length = 0.30115414910368354 | height = 0.7448057678848713 | density = 0.17111059021421327 | surface_area = 1.1338871279178828
[TETRAHEDRON] side = 0.8101608948780221 | density = 0.1021850846169432 | surface_area = 1.1368500382113471
[PARALLELEPIPED] width = 0.16072715841551444 | length = 0.5971638474060433 | height = 0.6233975970157992 | density = 0.7484260836835965 | surface_area = 1.136895760262191
[SPHERE] radius = 0.3014416048394607 | density = 0.10772797208319462 | surface_area = 1.1418689154470478
[PARALLELEPIPED] width = 0.0862328938538961 | length = 0.4923842962492532 | height = 0.9141021538926182 | density = 0.657618378440045 | surface_area = 1.1427498850127409
[TETRAHEDRON] side = 0.8149414742088977 | density = 0.7746171307367639 | surface_area = 1.150306221070876
[PARALLELEPIPED] width = 0.9707777758633966 | length = 0.5292971809935069 | height = 0.04408798409052206 | density = 0.5901844359525268 | surface_area = 1.1599304419362801
[TETRAHEDRON] side = 0.8187340162614561 | density = 0.11884604540890265 | surface_area = 1.1610376320158111
[TETRAHEDRON] side = 0.8192490870872244 | density = 0.33242465886454753 | surface_area = 1.1624989239812944
[SPHERE] radius = 0.3042913064471353 | density = 0.5125439371721677 | surface_area = 1.1635604572563167
[PARALLELEPIPED] width = 0.3917705370610415 | length = 0.14998953604871212 | height = 0.9714353702979874 | density = 0.12610063063758903 | surface_area = 1.170092756650757
[TETRAHEDRON] side = 0.8260020337950816 | density = 0.35914672219503974 | surface_area = 1.181742516187383
[PARALLELEPIPED] width = 0.5648715469549098 | length = 0.46136362526895325 | height = 0.3225535400387568 | density = 0.20442480635392823 | surface_area = 1.1832539448549784
[TETRAHEDRON] side = 0.8307485197480075 | density = 0.6449341148286617 | surface_area = 1.1953629189992356
[TETRAHEDRON] side = 0.8309434927387507 | density = 0.8045892731523876 | surface_area = 1.1959240775864195
[PARALLELEPIPED] width = 0.8072005719846311 | length = 0.5745214399395772 | height = 0.09755575562693586 | density = 0.8851336314651569 | surface_area = 1.1970979397525936
[TETRAHEDRON] side = 0.8331342892752305 | density = 0.2110780605311673 | surface_area = 1.202238538730408
[PARALLELEPIPED] width = 0.9162642634993158 | length = 0.048861771082654326 | height = 0.5801907458538613 | density = 0.505187953911305 | surface_area = 1.2094549770828265
[TETRAHEDRON] side = 0.8357465241580905 | density = 0.09777125046053403 | surface_area = 1.2097894292536
[PARALLELEPIPED] width = 0.11997953965844999 | length = 0.5217017766947073 | height = 0.8460546592802651 | density = 0.6997458056635667 | surface_area = 1.2109820129610178
[PARALLELEPIPED] width = 0.16442320029526558 | length = 0.5037863008819169 | height = 0.7828449712594513 | density = 0.10193725388453923 | surface_area = 1.2118772072005242
[TETRAHEDRON] side = 0.8379679742890805 | density = 0.4712147123983872 | surface_area = 1.2162293211012891
[SPHERE] radius = 0.3119168088041755 | density = 0.5764135058010704 | surface_area = 1.2226085313404882
[PARALLELEPIPED] width = 0.3054238629309265 | length = 0.4927567006734177 | height = 0.581533000456488 | density = 0.08640731615654773 | surface_area = 1.229335986127317
[TETRAHEDRON] side = 0.8430545867643459 | density = 0.4722035571074463 | surface_area = 1.2310395858340981
[PARALLELEPIPED] width = 0.039874138076457455 | length = 0.6721871919115759 | height = 0.8292803122779315 | density = 0.3831421037715197 | surface_area = 1.234602653994048
[PARALLELEPIPED] width = 0.4183198548580914 | length = 0.4987813203292095 | height = 0.44770706492364776 | density = 0.4638947458128623 | surface_area = 1.2384856098143535
[PARALLELEPIPED] width = 0.4818285927476522 | length = 0.4380468193347087 | height = 0.4444350935431207 | density = 0.6699158751948028 | surface_area = 1.2397767946689369
[TETRAHEDRON] side = 0.8477371738980577 | density = 0.9990253451770944 | surface_area = 1.2447527166088987
[SPHERE] radius = 0.3152707156306248 | density = 0.09861290468499384 | surface_area = 1.249042250316482
[PARALLELEPIPED] width = 0.3567079406563568 | length = 0.28233540844954375 | height = 0.8206766220412715 | density = 0.7916882744540992 | surface_area = 1.250318438409159
[PARALLELEPIPED] width = 0.19318569317629108 | length = 0.7206518563257612 | height = 0.5380260249489563 | density = 0.3476742753425184 | surface_area = 1.2617760252215149
[TETRAHEDRON] side = 0.8582906140311155 | density = 0.8587462414581756 | surface_area = 1.2759373597727701
[PARALLELEPIPED] width = 0.5510191584307821 | length = 0.4026697758367773 | height = 0.43671706101658125 | density = 0.8782802119053758 | surface_area = 1.2767419790089136
[TETRAHEDRON] side = 0.8596259002303694 | density = 0.564506346932436 | surface_area = 1.2799105288096246
[PARALLELEPIPED] width = 0.575536018002478 | length = 0.2521658614250031 | height = 0.599291225275245 | density = 0.16530403741104083 | surface_area = 1.2823300184908584
[PARALLELEPIPED] width = 0.531269902388291 | length = 0.4659615091174162 | height = 0.3948840636158987 | density = 0.735579203546545 | surface_area = 1.282684235212605
[PARALLELEPIPED] width = 0.6059411727080359 | length = 0.6555579054514625 | height = 0.1938857064246836 | density = 0.8911471225823643 | surface_area = 1.283632331860649
[PARALLELEPIPED] width = 0.21254785271672139 | length = 0.4706988580213942 | height = 0.794912201484493 | density = 0.6250919030744044 | surface_area = 1.2863343570770687
[PARALLELEPIPED] width = 0.06903807265093309 | length = 0.6138394651582143 | height = 0.880409044968549 | density = 0.3147828305285757 | surface_area = 1.2871797089692567
[TETRAHEDRON] side = 0.8623772775091518 | density = 0.15371441741489367 | surface_area = 1.2881167784124414
[PARALLELEPIPED] width = 0.2647559394452893 | length = 0.8242084196937245 | height = 0.393369004385808 | density = 0.06278346959638403 | surface_area = 1.2931578004417452
[PARALLELEPIPED] width = 0.17891010881594638 | length = 0.8963712149896087 | height = 0.45494285056514117 | density = 0.9807139059613836 | surface_area = 1.2991228444496614
[PARALLELEPIPED] width = 0.9384992013112418 | length = 0.25709874090649243 | height = 0.34333951882066704 | density = 0.22404758055946705 | surface_area = 1.3035659703657712
[PARALLELEPIPED] width = 0.089313808890217 | length = 0.6056064082568134 | height = 0.8629179494509698 | density = 0.25261202149479733 | surface_area = 1.3074962876445557
[SPHERE] radius = 0.3228781617938632 | density = 0.6336482961017388 | surface_area = 1.3100479989891416
[PARALLELEPIPED] width = 0.9237143254993503 | length = 0.6711081976421973 | height = 0.02218501060004363 | density = 0.2863027664443303 | surface_area = 1.3105868214064609
[TETRAHEDRON] side = 0.8701070725469948 | density = 0.8102495216601079 | surface_area = 1.311311967965226
[SPHERE] radius = 0.3238423553409139 | density = 0.3073982496124811 | surface_area = 1.3178839321653621
[TETRAHEDRON] side = 0.8735030720625968 | density = 0.33403069663549145 | surface_area = 1.3215679590376892
[TETRAHEDRON] side = 0.8743118407006272 | density = 0.5623226671614043 | surface_area = 1.324016347757606
[TETRAHEDRON] side = 0.8748834169883153 | density = 0.6523398852738285 | surface_area = 1.3257480496120706
[TETRAHEDRON] side = 0.875617668696696 | density = 0.46440681190833444 | surface_area = 1.3279742690862395
[TETRAHEDRON] side = 0.8762716256174377 | density = 0.7573299922671947 | surface_area = 1.3299586106368166
[PARALLELEPIPED] width = 0.5022325984305223 | length = 0.8290640775547902 | height = 0.18816858532700786 | density = 0.03140547747794986 | surface_area = 1.333782436212901
[PARALLELEPIPED] width = 0.7228349132752395 | length = 0.23210170709836808 | height = 0.5234196493516604 | density = 0.5793300175828501 | surface_area = 1.3352076166209945
[TETRAHEDRON] side = 0.8785471154049596 | density = 0.1724042596289468 | surface_area = 1.3368748144341287
[PARALLELEPIPED] width = 0.9452101052407741 | length = 0.660840062719358 | height = 0.028628052782422753 | density = 0.7920844625240911 | surface_area = 1.3412215884197314
[PARALLELEPIPED] width = 0.6262366371887849 | length = 0.05630160219094538 | height = 0.9313614748559583 | density = 0.7627512191988942 | surface_area = 1.341895894597386
[PARALLELEPIPED] width = 0.3846975105189173 | length = 0.7311074166980425 | height = 0.35030032467271444 | density = 0.7689611885726525 | surface_area = 1.3442440628023384
[TETRAHEDRON] side = 0.8814695155461305 | density = 0.04376070734103055 | surface_area = 1.3457835707389871
[PARALLELEPIPED] width = 0.39779824872157654 | length = 0.5675692425546136 | height = 0.46372920087655034 | density = 0.6865993948815331 | surface_area = 1.3468942919963296
[PARALLELEPIPED] width = 0.32672558401664764 | length = 0.4119201123755456 | height = 0.7346744578639008 | density = 0.479197984483936 | surface_area = 1.3544979316690826
[PARALLELEPIPED] width = 0.2796826956971189 | length = 0.4408791642626193 | height = 0.7691123024681309 | density = 0.28445464243710583 | surface_area = 1.3549985286440307
[PARALLELEPIPED] width = 0.4565020848514034 | length = 0.887622479307097 | height = 0.2059345750459204 | density = 0.828595722139229 | surface_area = 1.3640064665868505
[PARALLELEPIPED] width = 0.8476378419602768 | length = 0.048259624479533025 | height = 0.7156069055681248 | density = 0.02466039472975201 | surface_area = 1.36403419522592
[TETRAHEDRON] side = 0.8878667283202367 | density = 0.3379321874827954 | surface_area = 1.3653883427898224
[TETRAHEDRON] side = 0.8879659461991423 | density = 0.5147692857026566 | surface_area = 1.3656935203582061
[PARALLELEPIPED] width = 0.8102309138278121 | length = 0.7033830421662972 | height = 0.07499226853153007 | density = 0.004536244247374421 | surface_area = 1.3668240585327345
[SPHERE] radius = 0.32980972680528187 | density = 0.5950470512027849 | surface_area = 1.3669001261565439
[PARALLELEPIPED] width = 0.6227029059123205 | length = 0.09049042740966606 | height = 0.8828395801356844 | density = 0.92200717883936 | surface_area = 1.3719679101015976
[TETRAHEDRON] side = 0.8914347048428273 | density = 0.26731093602840283 | surface_area = 1.3763842772838835
[PARALLELEPIPED] width = 0.6610556739742027 | length = 0.3984771909011593 | height = 0.4012544320553677 | density = 0.27346061484286144 | surface_area = 1.377115731868146
[PARALLELEPIPED] width = 0.849779809987124 | length = 0.3186331606314361 | height = 0.35901024345183774 | density = 0.1391904789625068 | surface_area = 1.3804805034620653
[PARALLELEPIPED] width = 0.8473552254670625 | length = 0.6244757064917035 | height = 0.1095049876713744 | density = 0.6608622852221939 | surface_area = 1.3806511622629454
[TETRAHEDRON] side = 0.8934242342385759 | density = 0.7134535851747461 | surface_area = 1.3825348404966646
[PARALLELEPIPED] width = 0.3279633299274287 | length = 0.3560477159935288 | height = 0.8415114759076933 | density = 0.20021306840763664 | surface_area = 1.384747478680806
[SPHERE] radius = 0.3322354581425889 | density = 0.6890027676854976 | surface_area = 1.387081010527996
[TETRAHEDRON] side = 0.8965238449770427 | density = 0.03153447797739517 | surface_area = 1.3921445048264696
[TETRAHEDRON] side = 0.8969740142520333 | density = 0.8479213416625607 | surface_area = 1.3935429239042325
[SPHERE] radius = 0.33397806998335033 | density = 0.03959431420325654 | surface_area = 1.40166995838012
[TETRAHEDRON] side = 0.90072512453203 | density = 0.3735325139796072 | surface_area = 1.4052227794091052
[PARALLELEPIPED] width = 0.2238029351800518 | length = 0.6111043138689964 | height = 0.6799314145032531 | density = 0.16123527161280982 | surface_area = 1.4088932119400246
[TETRAHEDRON] side = 0.9019171807429517 | density = 0.15824673292861124 | surface_area = 1.4089446984429168
[PARALLELEPIPED] width = 0.368769080564158 | length = 0.9179232094554391 | height = 0.2846528407770714 | density = 0.8266579602948585 | surface_area = 1.4095246270788342
[PARALLELEPIPED] width = 0.9587340126812737 | length = 0.5391501657810992 | height = 0.12695938326271028 | density = 0.1941183380272712 | surface_area = 1.4141441067472829
[TETRAHEDRON] side = 0.9069779424697149 | density = 0.7730776707578257 | surface_area = 1.42480056219809
[PARALLELEPIPED] width = 0.5547878885846143 | length = 0.6944487499227756 | height = 0.26288152736714243 | density = 0.5308415169516895 | surface_area = 1.4273459825473978
[TETRAHEDRON] side = 0.9136033788617786 | density = 0.1655300004717889 | surface_area = 1.4456928114699081
[TETRAHEDRON] side = 0.9139495381006164 | density = 0.41212664833949764 | surface_area = 1.4467885489458077
[TETRAHEDRON] side = 0.9153724921465455 | density = 0.4363292160600545 | surface_area = 1.4512971485311184
[TETRAHEDRON] side = 0.9154503755109351 | density = 0.32018472071558035 | surface_area = 1.4515441227721362
[TETRAHEDRON] side = 0.9173138211200402 | density = 0.6995655014489759 | surface_area = 1.4574595203686953
[PARALLELEPIPED] width = 0.35748187101244033 | length = 0.8133833863010358 | height = 0.37408372426383374 | density = 0.9257848135967301 | surface_area = 1.457542901704572
[TETRAHEDRON] side = 0.9184782162318867 | density = 0.9574232887831962 | surface_area = 1.461161930134018
[PARALLELEPIPED] width = 0.22549158131753033 | length = 0.7531535829056974 | height = 0.5749863116732443 | density = 0.9677899459047109 | surface_area = 1.4650747315958792
[TETRAHEDRON] side = 0.9207939103224541 | density = 0.5645481636904526 | surface_area = 1.4685390663747013
[PARALLELEPIPED] width = 0.3325455260604774 | length = 0.9294764804345172 | height = 0.3376459117274483 | density = 0.4046684867277357 | surface_area = 1.4704196323000873
[TETRAHEDRON] side = 0.9224455999295283 | density = 0.2513262409316067 | surface_area = 1.4738122249837813
[TETRAHEDRON] side = 0.9261613964040736 | density = 0.1890864675063577 | surface_area = 1.4857097640105448
[TETRAHEDRON] side = 0.9273819592731011 | density = 0.011820501822073726 | surface_area = 1.4896282972074681
[PARALLELEPIPED] width = 0.6210839116163906 | length = 0.5710612283527191 | height = 0.32880026952567576 | density = 0.7283971211591105 | surface_area = 1.493309169626671
[PARALLELEPIPED] width = 0.08129386493313961 | length = 0.8287526119226886 | height = 0.7478281540102399 | density = 0.22971825136375967 | surface_area = 1.4958617594944925
[TETRAHEDRON] side = 0.9307177868468728 | density = 0.32129586821403044 | surface_area = 1.5003640683652877
[PARALLELEPIPED] width = 0.6972394483702368 | length = 0.20868394238735188 | height = 0.6678143224370561 | density = 0.45873744432829033 | surface_area = 1.500982584505086
[PARALLELEPIPED] width = 0.8537453950606242 | length = 0.7064604131046789 | height = 0.09697238387641682 | density = 0.40878660000601075 | surface_area = 1.5088684020727336
[TETRAHEDRON] side = 0.9339153947261141 | density = 0.626741268116546 | surface_area = 1.510691188783299
[TETRAHEDRON] side = 0.9339609449931389 | density = 0.7322523382671489 | surface_area = 1.5108385555909094
[SPHERE] radius = 0.347622786752544 | density = 0.945143303721247 | surface_area = 1.5185403547262906
[TETRAHEDRON] side = 0.9410227311638892 | density = 0.9103421763537914 | surface_area = 1.5337721792527692
[TETRAHEDRON] side = 0.9412159522985405 | density = 0.3225717431722579 | surface_area = 1.534402105856274
[PARALLELEPIPED] width = 0.958871230348473 | length = 0.0522287504671346 | height = 0.7114606985743436 | density = 0.5655342069360829 | surface_area = 1.5388770897991246
[PARALLELEPIPED] width = 0.8188090091758649 | length = 0.29300370426479116 | height = 0.4769856097801124 | density = 0.5307715960608202 | surface_area = 1.540465475711369
[TETRAHEDRON] side = 0.9439641698668436 | density = 0.31316047985940043 | surface_area = 1.543375662131605
[SPHERE] radius = 0.3506338056196505 | density = 0.21355682328004844 | surface_area = 1.5449606937100473
[PARALLELEPIPED] width = 0.9389902485336662 | length = 0.025416964617776316 | height = 0.7781742636472848 | density = 0.10823607602492391 | surface_area = 1.548686309747342
[PARALLELEPIPED] width = 0.842919190998179 | length = 0.6158275554472562 | height = 0.1752525425791569 | density = 0.8369606329173707 | surface_area = 1.5494838822512456
[PARALLELEPIPED] width = 0.773414617096742 | length = 0.9933503459755909 | height = 0.003706464790870112 | density = 0.530475899406817 | surface_area = 1.5496402592099967
[SPHERE] radius = 0.3514448490640353 | density = 0.4947047561843717 | surface_area = 1.5521161898481082
[TETRAHEDRON] side = 0.9490594137264179 | density = 0.03969210959617864 | surface_area = 1.5600820140726397
[PARALLELEPIPED] width = 0.6010602497796775 | length = 0.1862115084931789 | height = 0.8495154382057347 | density = 0.6807720257331408 | surface_area = 1.561447697045851
[PARALLELEPIPED] width = 0.3010033248656151 | length = 0.7555547256495796 | height = 0.523856112923376 | density = 0.6074990493022074 | surface_area = 1.5618177559184818
[PARALLELEPIPED] width = 0.562084275951749 | length = 0.4143981915130064 | height = 0.5614153300617812 | density = 0.6742823975425418 | surface_area = 1.5622778684071412
[SPHERE] radius = 0.35325770625603503 | density = 0.5819717969391889 | surface_area = 1.568170043668972
[TETRAHEDRON] side = 0.954229619664591 | density = 0.4730382796042327 | surface_area = 1.5771260803658969
[PARALLELEPIPED] width = 0.823726324390345 | length = 0.49023385108045114 | height = 0.29446581978898423 | density = 0.7799353896038842 | surface_area = 1.5814697769646187
[TETRAHEDRON] side = 0.9577165356612093 | density = 0.28007176632142183 | surface_area = 1.5886733091271064
[TETRAHEDRON] side = 0.9588340200471057 | density = 0.2893543555327516 | surface_area = 1.5923828688780548
[TETRAHEDRON] side = 0.9605062221266129 | density = 0.5918298446680101 | surface_area = 1.597941928803236
[PARALLELEPIPED] width = 0.7504793345550216 | length = 0.8721335975603436 | height = 0.0911150955662009 | density = 0.09909390867505652 | surface_area = 1.6047255486336172
[TETRAHEDRON] side = 0.9642152108736268 | density = 0.00020168954038735087 | surface_area = 1.6103066413825764
[PARALLELEPIPED] width = 0.5889906303471442 | length = 0.19116539277197953 | height = 0.8908771769896694 | density = 0.7308062515589562 | surface_area = 1.6152356413543596
[TETRAHEDRON] side = 0.9664464485837598 | density = 0.9125700164411849 | surface_area = 1.6177679094030029
[PARALLELEPIPED] width = 0.015828991589040275 | length = 0.917639090525338 | height = 0.8510906673124783 | density = 0.7756158678919263 | surface_area = 1.6179825487346513
[SPHERE] radius = 0.3591002899852771 | density = 0.4945191412882909 | surface_area = 1.6204714193897605
[TETRAHEDRON] side = 0.9692539315391868 | density = 0.08681132476732756 | surface_area = 1.6271806456811666
[TETRAHEDRON] side = 0.9713465694617966 | density = 0.7883551868786233 | surface_area = 1.6342144593255776
[PARALLELEPIPED] width = 0.402762333140652 | length = 0.5710284781318677 | height = 0.6049445892328298 | density = 0.9260855147000746 | surface_area = 1.6381564889322107
[PARALLELEPIPED] width = 0.4478812691811893 | length = 0.43873203000122885 | height = 0.7105756806391754 | density = 0.5378300250962401 | surface_area = 1.6530114139153633
[PARALLELEPIPED] width = 0.05378562622487437 | length = 0.8847165710928985 | height = 0.8315793735450059 | density = 0.2850884596244847 | surface_area = 1.6560482082477603
[SPHERE] radius = 0.36350704832208747 | density = 0.1954171623757326 | surface_area = 1.660487215952079
[PARALLELEPIPED] width = 0.14334007491532408 | length = 0.7239498168041466 | height = 0.8402555698893035 | density = 0.613858912953324 | surface_area = 1.6650323664032352
[SPHERE] radius = 0.3641193703949178 | density = 0.28313705406033307 | surface_area = 1.6660860582914925
[TETRAHEDRON] side = 0.9828953288539581 | density = 0.7202746611557093 | surface_area = 1.673305234340557
[PARALLELEPIPED] width = 0.9980033975512161 | length = 0.039568931018097775 | height = 0.7699941717124764 | density = 0.7146485425212253 | surface_area = 1.676829146644091
[SPHERE] radius = 0.36723855172682984 | density = 0.005831801601926423 | surface_area = 1.6947529401779184
[SPHERE] radius = 0.36734005825651916 | density = 0.43529828496090484 | surface_area = 1.6956899456398271
[TETRAHEDRON] side = 0.9900842872732649 | density = 0.05779942569543983 | surface_area = 1.697872068686
[PARALLELEPIPED] width = 0.846276429762555 | length = 0.3707603809376324 | height = 0.44541285657289265 | density = 0.29427108532051316 | surface_area = 1.7116992277712755
[TETRAHEDRON] side = 0.9958801290049569 | density = 0.9454083905805363 | surface_area = 1.7178085544828745
[PARALLELEPIPED] width = 0.6824990566809626 | length = 0.12361032794109794 | height = 0.9632209202762867 | density = 0.09725428775173528 | surface_area = 1.7216507110296722
[TETRAHEDRON] side = 0.9977081341179824 | density = 0.7468143205692621 | surface_area = 1.7241206491206262
[SPHERE] radius = 0.3705170585235682 | density = 0.9306425633306468 | surface_area = 1.725147683005871
[TETRAHEDRON] side = 0.9982538238084041 | density = 0.5302041830372889 | surface_area = 1.7260071570535718
[TETRAHEDRON] side = 0.9982858322176621 | density = 0.44128651835511934 | surface_area = 1.726117845593649
[TETRAHEDRON] side = 0.9985726291247563 | density = 0.35063257814881243 | surface_area = 1.7271097786734098
[PARALLELEPIPED] width = 0.28493164462024134 | length = 0.456623666903063 | height = 0.9902844807771404 | density = 0.6240175942653536 | surface_area = 1.728914498045202
[PARALLELEPIPED] width = 0.01681888397799358 | length = 0.9105056950968358 | height = 0.920298132476989 | density = 0.3462395591320625 | surface_area = 1.7374575359394229
[PARALLELEPIPED] width = 0.4382213675079921 | length = 0.6322768180074052 | height = 0.5565123604821415 | density = 0.5274104610002798 | surface_area = 1.7456453678876602
[PARALLELEPIPED] width = 0.2721998787243902 | length = 0.5331737485467286 | height = 0.9130409019513896 | density = 0.5853172372748451 | surface_area = 1.7609377854898653
[PARALLELEPIPED] width = 0.8942420670503097 | length = 0.7095707421078122 | height = 0.15742259544382253 | density = 0.016168047536901597 | surface_area = 1.7740087643292637
